"","location","avg_price","NATCODE"
"1","Algeciras",2,34011111004
"2","Algeciras",2,34011111004
"3","Alhaurín de la Torre",7,34012929007
"4","Alhaurín de la Torre",7,34012929007
"5","Alhaurín de la Torre",7,34012929007
"6","Alhaurín de la Torre",7,34012929007
"7","Alhaurín de la Torre",7,34012929007
"8","Alhaurín de la Torre",7,34012929007
"9","Alhaurín de la Torre",7,34012929007
"10","Alhaurín el Grande",77,34012929008
"11","Alhaurín el Grande",77,34012929008
"12","Alhaurín el Grande",77,34012929008
"13","Alhaurín el Grande",77,34012929008
"14","Alhaurín el Grande",77,34012929008
"15","Alhaurín el Grande",77,34012929008
"16","Alhaurín el Grande",77,34012929008
"17","Alhaurín el Grande",77,34012929008
"18","Alhaurín el Grande",77,34012929008
"19","Alhaurín el Grande",77,34012929008
"20","Alhaurín el Grande",77,34012929008
"21","Alhaurín el Grande",77,34012929008
"22","Alhaurín el Grande",77,34012929008
"23","Alhaurín el Grande",77,34012929008
"24","Alhaurín el Grande",77,34012929008
"25","Alhaurín el Grande",77,34012929008
"26","Alhaurín el Grande",77,34012929008
"27","Alhaurín el Grande",77,34012929008
"28","Alhaurín el Grande",77,34012929008
"29","Alhaurín el Grande",77,34012929008
"30","Alhaurín el Grande",77,34012929008
"31","Alhaurín el Grande",77,34012929008
"32","Alhaurín el Grande",77,34012929008
"33","Alhaurín el Grande",77,34012929008
"34","Alhaurín el Grande",77,34012929008
"35","Alhaurín el Grande",77,34012929008
"36","Alhaurín el Grande",77,34012929008
"37","Alhaurín el Grande",77,34012929008
"38","Alhaurín el Grande",77,34012929008
"39","Alhaurín el Grande",77,34012929008
"40","Alhaurín el Grande",77,34012929008
"41","Alhaurín el Grande",77,34012929008
"42","Alhaurín el Grande",77,34012929008
"43","Alhaurín el Grande",77,34012929008
"44","Alhaurín el Grande",77,34012929008
"45","Alhaurín el Grande",77,34012929008
"46","Alhaurín el Grande",77,34012929008
"47","Alhaurín el Grande",77,34012929008
"48","Alhaurín el Grande",77,34012929008
"49","Alhaurín el Grande",77,34012929008
"50","Alhaurín el Grande",77,34012929008
"51","Alhaurín el Grande",77,34012929008
"52","Alhaurín el Grande",77,34012929008
"53","Alhaurín el Grande",77,34012929008
"54","Alhaurín el Grande",77,34012929008
"55","Alhaurín el Grande",77,34012929008
"56","Alhaurín el Grande",77,34012929008
"57","Alhaurín el Grande",77,34012929008
"58","Alhaurín el Grande",77,34012929008
"59","Alhaurín el Grande",77,34012929008
"60","Alhaurín el Grande",77,34012929008
"61","Alhaurín el Grande",77,34012929008
"62","Alhaurín el Grande",77,34012929008
"63","Alhaurín el Grande",77,34012929008
"64","Alhaurín el Grande",77,34012929008
"65","Alhaurín el Grande",77,34012929008
"66","Alhaurín el Grande",77,34012929008
"67","Alhaurín el Grande",77,34012929008
"68","Alhaurín el Grande",77,34012929008
"69","Alhaurín el Grande",77,34012929008
"70","Alhaurín el Grande",77,34012929008
"71","Alhaurín el Grande",77,34012929008
"72","Alhaurín el Grande",77,34012929008
"73","Alhaurín el Grande",77,34012929008
"74","Alhaurín el Grande",77,34012929008
"75","Alhaurín el Grande",77,34012929008
"76","Alhaurín el Grande",77,34012929008
"77","Alhaurín el Grande",77,34012929008
"78","Alhaurín el Grande",77,34012929008
"79","Alhaurín el Grande",77,34012929008
"80","Alhaurín el Grande",77,34012929008
"81","Alhaurín el Grande",77,34012929008
"82","Alhaurín el Grande",77,34012929008
"83","Alhaurín el Grande",77,34012929008
"84","Alhaurín el Grande",77,34012929008
"85","Alhaurín el Grande",77,34012929008
"86","Alhaurín el Grande",77,34012929008
"87","Almogía",3,34012929011
"88","Almogía",3,34012929011
"89","Almogía",3,34012929011
"90","Alozaina",10,34012929013
"91","Alozaina",10,34012929013
"92","Alozaina",10,34012929013
"93","Alozaina",10,34012929013
"94","Alozaina",10,34012929013
"95","Alozaina",10,34012929013
"96","Alozaina",10,34012929013
"97","Alozaina",10,34012929013
"98","Alozaina",10,34012929013
"99","Alozaina",10,34012929013
"100","Antequera",5,34012929015
"101","Antequera",5,34012929015
"102","Antequera",5,34012929015
"103","Antequera",5,34012929015
"104","Antequera",5,34012929015
"105","Archidona",1,34012929017
"106","Ardales",7,34012929018
"107","Ardales",7,34012929018
"108","Ardales",7,34012929018
"109","Ardales",7,34012929018
"110","Ardales",7,34012929018
"111","Ardales",7,34012929018
"112","Ardales",7,34012929018
"113","Arriate",5,34012929020
"114","Arriate",5,34012929020
"115","Arriate",5,34012929020
"116","Arriate",5,34012929020
"117","Arriate",5,34012929020
"118","Benahavís",42,34012929023
"119","Benahavís",42,34012929023
"120","Benahavís",42,34012929023
"121","Benahavís",42,34012929023
"122","Benahavís",42,34012929023
"123","Benahavís",42,34012929023
"124","Benahavís",42,34012929023
"125","Benahavís",42,34012929023
